RA	DEC	NAME	DIAMETER
169.542083	54.211389	LEDA 2462962 , 541 Mly	0.50
169.545833	53.590833	LEDA 2445350 , 1410 Mly	0.43
169.550417	54.196667	LEDA 2462539 , 1524 Mly	0.90
169.557500	53.436111	LEDA 2441024 , 389 Mly	0.55
169.559167	55.582222	LEDA 2507240 , 848 Mly	0.41
169.563333	54.561389	LEDA 2473300 , 1009 Mly	0.68
169.571250	53.750000	LEDA 34553 , 527 Mly	0.71
169.572083	54.155000	LEDA 2461383 , 1051 Mly	0.33
169.582917	55.482222	LEDA 2503672 , 1004 Mly	0.79
169.586667	53.752500	LEDA 34559 , 529 Mly	0.36
169.596667	54.742778	LEDA 2478891 , 845 Mly	0.48
169.600000	56.034722	LEDA 2523221 , 988 Mly	0.51
169.602083	54.020833	LEDA 2457464 , 511 Mly	0.59
169.608333	53.428889	LEDA 2440852 , 522 Mly	0.37
169.610417	54.465556	LEDA 2470472 , 597 Mly	1.14
169.610833	54.019167	LEDA 2457412 , 1511 Mly	0.34
169.612083	55.952778	LEDA 2520251 , 1616 Mly	0.33
169.615833	55.636111	LEDA 2509113 , 2012 Mly	0.47
169.623333	54.732222	LEDA 2478545 , 1029 Mly	0.39
169.630833	54.051944	LEDA 2458336 , 501 Mly	0.55
169.634167	53.814444	LEDA 34576 , 490 Mly	0.93
169.636667	54.114167	LEDA 2460161 , 1205 Mly	0.55
